year_received,Boroughs,Counts
1985,Brooklyn,7
1986,Brooklyn,17
1987,Bronx,1
1987,Brooklyn,16
1987,Manhattan,2
1987,Queens,3
1988,Bronx,3
1988,Brooklyn,16
1988,Manhattan,6
1988,Queens,7
1989,Bronx,3
1989,Brooklyn,45
1989,Queens,1
1990,Bronx,8
1990,Brooklyn,41
1990,Manhattan,4
1991,Bronx,14
1991,Brooklyn,34
1991,Manhattan,6
1991,Queens,2
1992,Bronx,2
1992,Brooklyn,60
1992,Manhattan,13
1992,Queens,5
1992,Staten Island,5
1993,Bronx,6
1993,Brooklyn,34
1993,Manhattan,11
1993,Queens,8
1994,Bronx,42
1994,Brooklyn,56
1994,Manhattan,15
1994,Queens,59
1994,Staten Island,1
1995,Bronx,48
1995,Brooklyn,54
1995,Manhattan,32
1995,Queens,63
1995,Staten Island,1
1996,Bronx,54
1996,Brooklyn,90
1996,Manhattan,42
1996,Queens,48
1996,Staten Island,5
1997,Bronx,35
1997,Brooklyn,102
1997,Manhattan,42
1997,Queens,23
1997,Staten Island,6
1998,Bronx,85
1998,Brooklyn,56
1998,Manhattan,67
1998,Queens,26
1998,Staten Island,5
1999,Bronx,49
1999,Brooklyn,61
1999,Manhattan,24
1999,Queens,8
1999,Staten Island,4
2000,Bronx,66
2000,Brooklyn,88
2000,Manhattan,39
2000,Queens,25
2000,Staten Island,6
2001,Bronx,75
2001,Brooklyn,149
2001,Manhattan,78
2001,Queens,13
2001,Staten Island,16
2002,Bronx,150
2002,Brooklyn,251
2002,Manhattan,94
2002,Queens,37
2002,Staten Island,29
2003,Bronx,194
2003,Brooklyn,366
2003,Manhattan,94
2003,Queens,77
2003,Staten Island,24
2004,Bronx,205
2004,Brooklyn,383
2004,Manhattan,205
2004,Queens,111
2004,Staten Island,25
2005,Bronx,299
2005,Brooklyn,559
2005,Manhattan,243
2005,Queens,205
2005,Staten Island,12
2006,Bronx,381
2006,Brooklyn,702
2006,Manhattan,301
2006,Queens,213
2006,Staten Island,35
2007,Bronx,489
2007,Brooklyn,770
2007,Manhattan,277
2007,Queens,280
2007,Staten Island,43
2008,Bronx,445
2008,Brooklyn,625
2008,Manhattan,300
2008,Queens,184
2008,Staten Island,58
2009,Bronx,483
2009,Brooklyn,672
2009,Manhattan,321
2009,Queens,204
2009,Staten Island,59
2010,Bronx,452
2010,Brooklyn,620
2010,Manhattan,255
2010,Queens,255
2010,Staten Island,63
2011,Bronx,503
2011,Brooklyn,735
2011,Manhattan,310
2011,Queens,262
2011,Staten Island,75
2012,Bronx,416
2012,Brooklyn,713
2012,Manhattan,310
2012,Queens,245
2012,Staten Island,128
2013,Bronx,521
2013,Brooklyn,840
2013,Manhattan,239
2013,Queens,330
2013,Staten Island,158
2014,Bronx,518
2014,Brooklyn,712
2014,Manhattan,285
2014,Queens,423
2014,Staten Island,254
2015,Bronx,554
2015,Brooklyn,802
2015,Manhattan,363
2015,Queens,426
2015,Staten Island,119
2016,Bronx,624
2016,Brooklyn,801
2016,Manhattan,400
2016,Queens,361
2016,Staten Island,118
2017,Bronx,643
2017,Brooklyn,770
2017,Manhattan,373
2017,Queens,237
2017,Staten Island,127
2018,Bronx,520
2018,Brooklyn,832
2018,Manhattan,404
2018,Queens,325
2018,Staten Island,120
2019,Bronx,441
2019,Brooklyn,673
2019,Manhattan,203
2019,Queens,210
2019,Staten Island,64
2020,Brooklyn,3
2020,Manhattan,1
